iter	Logloss
0	0.6865030425
1	0.6816747719
2	0.6767283902
3	0.6730910555
4	0.6701914122
5	0.6675527424
6	0.6654095179
7	0.6635836428
8	0.662035268
9	0.6608379065
10	0.6589846193
11	0.6566692988
12	0.6547585067
13	0.6530377273
14	0.6513558997
15	0.6502167232
16	0.6481615626
17	0.6471101179
18	0.6459448151
19	0.645352229
20	0.6435634805
21	0.6431571968
22	0.64236364
23	0.6417115093
24	0.640237787
25	0.6391802511
26	0.6381402434
27	0.6379998445
28	0.6366342238
29	0.6366201052
30	0.6361865278
31	0.634562465
32	0.6335312157
33	0.6325295144
34	0.6325294559
35	0.6316614208
36	0.6312832803
37	0.6311147259
38	0.6310774928
39	0.6307340779
40	0.6306602932
41	0.630347689
42	0.6301256085
43	0.6299211956
44	0.6299211943
45	0.6296560421
46	0.6287631112
47	0.6283511851
48	0.6278712943
49	0.6278325263
50	0.6276838167
51	0.6273643193
52	0.6270276393
53	0.6267119206
54	0.6267107827
55	0.6267042913
56	0.6261969364
57	0.6258700658
58	0.6258022112
59	0.6258022112
60	0.6257075253
61	0.6257040478
62	0.6256999705
63	0.6250812528
64	0.6250728983
65	0.6244653505
66	0.6244633855
67	0.6238161497
68	0.6238161494
69	0.6237733331
70	0.623773333
71	0.6237683065
72	0.6237683063
73	0.6237636422
74	0.623763642
75	0.6236722954
76	0.6235497597
77	0.6235496516
78	0.6235496516
79	0.6229130087
80	0.6229130047
81	0.6229028842
82	0.622594802
83	0.6216675968
84	0.6216664365
85	0.621485921
86	0.6212153411
87	0.6212113046
88	0.6209851117
89	0.6209850938
90	0.6209585146
91	0.6209577247
92	0.6206589615
93	0.6206589589
94	0.6200786943
95	0.6196110999
96	0.6193819107
97	0.6193819093
98	0.6193819092
99	0.6192528674
100	0.6192528388
101	0.6187637884
102	0.6177534574
103	0.6177534571
104	0.6176186819
105	0.6169767018
106	0.616976304
107	0.6167141841
108	0.616712376
109	0.6159971292
110	0.6159093163
111	0.6155782182
112	0.6145910456
113	0.6143992461
114	0.61388648
115	0.6136443982
116	0.6130296813
117	0.6128441348
118	0.6117762011
119	0.6114602206
120	0.6111997792
121	0.6108125763
122	0.6100916875
123	0.6092590442
124	0.6085543323
125	0.6080475382
126	0.6074924967
127	0.6066582612
128	0.6060049216
129	0.6056962887
130	0.6047954831
131	0.6040063862
132	0.6026681558
133	0.6016528153
134	0.6010181159
135	0.5994944032
136	0.5987718984
137	0.597322697
138	0.5971811751
