iter	Passed	Remaining
0	361	71880
1	424	42074
2	646	42420
3	717	35159
4	800	31218
5	1051	33988
6	1165	32123
7	1242	29830
8	1352	28699
9	1440	27367
10	1670	28709
11	1899	29753
12	2120	30506
13	2329	30946
14	2566	31648
15	2775	31923
16	2988	32165
17	3177	32129
18	3376	32162
19	3470	31231
20	3674	31320
21	3752	30358
22	3959	30471
23	4085	29957
24	4297	30079
25	4504	30148
26	4718	30234
27	4798	29477
28	5013	29565
29	5087	28830
30	5290	28843
31	5532	29045
32	5755	29128
33	5969	29145
34	5998	28280
35	6217	28323
36	6398	28189
37	6595	28118
38	6686	27602
39	6908	27633
40	6999	27143
41	7188	27042
42	7314	26704
43	7495	26574
44	7519	25901
45	7723	25857
46	8007	26067
47	8324	26361
48	8552	26354
49	8639	25917
50	8827	25790
51	9024	25686
52	9215	25559
53	9424	25480
54	9490	25019
55	9539	24531
56	9742	24441
57	9954	24372
58	10183	24337
59	10208	23820
60	10414	23732
61	10487	23343
62	10527	22892
63	10726	22794
64	10791	22413
65	11007	22348
66	11063	21961
67	11278	21892
68	11307	21467
69	11411	21192
70	11448	20801
71	11526	20492
72	11552	20098
73	11610	19768
74	11635	19391
75	11825	19294
76	12019	19199
77	12081	18896
78	12110	18549
79	12317	18476
80	12351	18146
81	12407	17854
82	12608	17772
83	12819	17702
84	12889	17438
85	13104	17370
86	13332	17316
87	13391	17043
88	13602	16965
89	13646	16679
90	13751	16471
91	13804	16205
92	14010	16119
93	14036	15828
94	14366	15878
95	14582	15797
96	14795	15710
97	14825	15431
98	14853	15153
99	15072	15072
100	15119	14819
101	15351	14749
102	15559	14653
103	15588	14389
104	15747	14247
105	15969	14161
106	16011	13916
107	16255	13847
108	16338	13640
109	16559	13548
110	16796	13467
111	17004	13360
112	17234	13269
113	17452	13165
114	17676	13064
115	17900	12962
116	18112	12848
117	18334	12740
118	18564	12636
119	18770	12513
120	18982	12393
121	19190	12269
122	19394	12141
123	19609	12018
124	19812	11887
125	20041	11770
126	20253	11641
127	20462	11509
128	20665	11373
129	20877	11241
130	21089	11108
131	21298	10971
132	21518	10839
133	21736	10705
134	21938	10562
135	22153	10425
136	22385	10294
137	22600	10153
138	22790	10001
